salary,season,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,NAME,last3_avg_salary,GP,GS_x,MIN,FGM,FGA_x,FG%_x,3PM,3PA_x,3P%_x,FTM,FTA_x,FT%_x,OFF,DEF,TRB_x,AST_x,STL_x,BLK_x,PF_x,TOV_x,PTS_x,YR,POS,W,H,Rk,Age,Team,Pos,G,GS_y,MP,FG,FGA_y,FG%_y,3P,3PA_y,3P%_y,2P,2PA,2P%,eFG%,FT,FTA_y,FT%_y,ORB,DRB,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,Trp-Dbl,Awards,Player-additional
2098560,2008-09,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,2098560.0,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
2225880,2009-10,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,2162220.0,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
2413320,2010-11,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,2245920.0,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
3076983,2011-12,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,2572061.0,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
13668750,2012-13,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,6386351.0,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
14693906,2013-14,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,10479879.666666666,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
15719063,2014-15,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,14693906.333333334,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
20000000,2015-16,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,16804323.0,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
21165675,2016-17,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,18961579.33333333,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
22642350,2017-18,1.5,49.8,34.7,79.1,717,19.9,17.3,6.5,60.1,52.1,Brook Lopez,21269341.666666668,444,409,32.5,7.04,13.82,0.51,0.0,0.05,0.048,3.88,4.89,0.792,2.82,4.56,7.38,1.34,0.57,1.77,2.84,1.95,17.97,7,Center,125,213,98,35,MIL,C,79,79,2411,366,755,0.485,148,404,0.366,218,351,0.621,0.583,110,134,0.821,117,292,409,127,43,189,79,191,990,0,0,lopezbr01
3144240,2005-06,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,3144240.0,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
3380160,2006-07,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,3262200.0,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
3615960,2007-08,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,3380120.0,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
4574189,2008-09,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,3856769.6666666665,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
13520500,2009-10,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,7236883.0,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
14940153,2010-11,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,11011614.0,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
16359805,2011-12,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,14940152.666666666,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
17779458,2012-13,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,16359805.333333334,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
18668431,2013-14,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,17602564.666666668,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
20068563,2014-15,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,18838817.33333333,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
21468696,2015-16,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,20068563.33333333,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
22868827,2016-17,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,21468695.33333333,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
24599495,2017-18,9.7,46.9,37.0,86.8,950,25.3,18.5,4.5,171.5,51.8,Chris Paul,22979006.0,725,725,36.1,6.58,13.9,0.473,1.08,2.97,0.365,4.41,5.12,0.862,0.69,3.66,4.35,9.91,2.34,0.1,2.48,2.41,18.65,1,Point Guard,79,183,205,38,GSW,PG,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,0,paulch01
457588,2009-10,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,457588.0,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
94154,2010-11,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,275871.0,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
854389,2011-12,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,468710.3333333333,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
3500000,2012-13,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,1482847.6666666667,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
3762500,2013-14,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,2705629.6666666665,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
4025000,2014-15,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,3762500.0,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
10000000,2015-16,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,5929166.666666667,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
10000000,2016-17,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,8008333.333333333,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
10000000,2017-18,1.6,42.4,40.4,81.7,620,13.2,9.0,3.5,39.2,54.9,Danny Green,10000000.0,355,289,24.6,3.28,7.58,0.432,1.85,4.51,0.411,0.92,1.11,0.83,0.56,2.83,3.39,1.55,0.98,0.76,1.59,1.07,9.33,6,Small Forward,98,198,568,36,PHI,SG,2,0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,0,greenda02
550000,2008-09,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,550000.0,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
736420,2009-10,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,643210.0,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
854389,2010-11,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,713603.0,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
10079404,2011-12,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,3890071.0,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
10532977,2012-13,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,7155590.0,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
10986550,2013-14,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,10532977.0,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
11440124,2014-15,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,10986550.333333334,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
19500000,2015-16,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,13975558.0,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
21165675,2016-17,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,17368599.666666668,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
22642350,2017-18,0.9,67.0,9.1,46.6,819,18.5,9.6,10.9,83.4,67.0,DeAndre Jordan,21102675.0,546,434,26.5,3.38,5.07,0.666,0.0,0.01,0.125,1.46,3.53,0.415,3.03,6.22,9.25,0.51,0.6,1.78,2.73,1.21,8.21,7,Center,120,211,381,35,DEN,C,36,2,396,58,93,0.624,0,0,0.0,58,93,0.624,0.624,26,53,0.491,54,103,157,26,6,16,23,56,142,0,0,jordade01
4822800,2008-09,5.6,45.3,30.4,82.4,546,18.1,18.8,3.5,37.2,47.7,Derrick Rose,4822800.0,366,365,35.4,7.67,17.13,0.448,0.87,2.92,0.299,3.7,4.56,0.811,0.88,2.81,3.7,6.39,0.82,0.4,1.44,2.95,19.92,7,Point Guard,86,191,348,35,MEM,PG,24,7,399,76,165,0.461,15,41,0.366,61,124,0.492,0.506,24,27,0.889,7,38,45,78,8,2,31,21,191,0,0,rosede01
5184480,2009-10,5.6,45.3,30.4,82.4,546,18.1,18.8,3.5,37.2,47.7,Derrick Rose,5003640.0,366,365,35.4,7.67,17.13,0.448,0.87,2.92,0.299,3.7,4.56,0.811,0.88,2.81,3.7,6.39,0.82,0.4,1.44,2.95,19.92,7,Point Guard,86,191,348,35,MEM,PG,24,7,399,76,165,0.461,15,41,0.366,61,124,0.492,0.506,24,27,0.889,7,38,45,78,8,2,31,21,191,0,0,rosede01
